Entity,Staple Crop,Crop Yeild (kg/ha),"Agriculture, value added per worker (constant 2010 US$)",Urban Population (%),Employed in Agriculture(%),Cash Crop,Cash Crop Yeild (kg/ha)
Japan,Maize Rice Soybeans Wheat Yams,351772,25365.13941,91.381,3.632999897,Tea Tobacco,43437
Jordan,Maize Wheat,361699,11072.80362,90.256,3.6710000039999997,Tobacco,14679
Kazakhstan,Maize Rice Soybeans Wheat,137802,5214.575793,57.191,18.01300049,Cotton Tobacco,57625
Kenya,Maize Rice Soybeans Wheat Yams,169665,2002.4791719999998,25.658,37.75299835,Coffee Cotton Tea Tobacco,34163
Kyrgyzstan,Maize Rice Soybeans Wheat,135428,1346.6263,35.777,29.30800056,Cotton Tobacco,57667
Laos,Maize Rice Soybeans,118432,851.9345947,33.108000000000004,63.11800003,Coffee Cotton Tea Tobacco,164866
Lebanon,Maize Wheat,72217,24057.22247,88.10600000000001,3.220000029,Tobacco,11638
Liberia,Rice Soybeans Yams,101967,1019.802855,49.82,43.35499954,Cocoa Coffee,3921
Madagascar,Maize Rice Soybeans Wheat,88220,246.90115640000002,35.193000000000005,74.50099945,Cocoa Coffee Cotton Tea Tobacco,36071
Malawi,Maize Rice Soybeans Wheat,49720,396.66130710000004,16.313,84.84700012,Coffee Cotton Tea Tobacco,66961
Malaysia,Maize Rice,104371,16332.1047,74.21300000000001,12.46899986,Cocoa Coffee Tea Tobacco,103266
Mali,Maize Rice Soybeans Wheat Yams,351567,1150.021086,39.991,62.26599884,Cotton Tea Tobacco,48248
Mauritius,Maize Rice,89896,9386.886927,41.0,7.541999817000001,Tea Tobacco,39080
Mexico,Maize Rice Soybeans Wheat,170241,5208.332006000001,79.285,13.52999973,Cocoa Coffee Cotton Tobacco,78875
Montenegro,Maize Wheat,73695,22882.55182,65.806,7.765999794,Tea Tobacco,27912
Morocco,Maize Rice Soybeans Wheat,101471,3535.7743530000002,60.809,38.59000015,Cotton Tobacco,50700
Mozambique,Maize Rice Wheat,25897,482.36039050000005,34.4,73.56099701,Coffee Cotton Tea Tobacco,43713
Myanmar,Maize Rice Soybeans Wheat,97977,1593.762675,29.858,51.75600052,Coffee Cotton Tea Tobacco,57748
Nepal,Maize Rice Soybeans Wheat,92193,544.440838,18.557000000000002,72.32499695,Coffee Cotton Tea Tobacco,31650
Nicaragua,Maize Rice Soybeans Yams,224853,1890.8744579999998,57.895,30.68199921,Cocoa Coffee Cotton Tobacco,58009
Niger,Maize Rice Wheat,76669,483.2261766,16.247,76.08699799,Cotton Tobacco,27766
Nigeria,Maize Rice Soybeans Wheat Yams,142617,5464.50911,47.838,36.38299942,Cocoa Coffee Cotton Tobacco,29916
North Macedonia,Maize Rice Soybeans Wheat,143841,7305.719082,57.408,17.86499977,Tobacco,15406
Oman,Maize Wheat,110925,7677.603408,81.35,5.960999966,Tobacco,45448
Pakistan,Maize Rice Soybeans Wheat,119508,1812.889723,36.025999999999996,41.00999832,Cotton Tobacco,43384
Palestine,Wheat,25715,5354.0288740000005,75.368,8.649999618999999,Tobacco,7019
Panama,Maize Rice Soybeans Yams,101520,4004.390618,66.696,15.73200035,Cocoa Coffee Tobacco,24149
Paraguay,Maize Rice Soybeans Wheat,168860,8693.6621,60.75,19.70199966,Coffee Cotton Tobacco,54781
Peru,Maize Rice Soybeans Wheat,140297,2478.647644,77.357,28.26199913,Cocoa Coffee Cotton Tea Tobacco,147204
Philippines,Maize Rice Soybeans Yams,135952,2197.244344,46.284,29.15200043,Cocoa Coffee Cotton Tobacco,29620
Poland,Maize Soybeans Wheat,138272,5843.134083,60.278,11.5340004,Tobacco,20251
Portugal,Maize Rice Wheat Yams,332402,14214.10024,63.513999999999996,7.53000021,Tea Tobacco,69243
South Korea,Maize Rice Soybeans Wheat,173224,18455.13565,81.634,5.18599987,Tea Tobacco,35385
Romania,Maize Rice Soybeans Wheat,148454,4405.416737,53.887,25.58600044,Tobacco,13745
Russia,Maize Rice Soybeans Wheat,149738,12995.43656,74.05,6.7100000379999996,Tea Tobacco,20485
Rwanda,Maize Rice Soybeans Wheat Yams,163424,547.5282798,17.004,67.31800079,Coffee Tea Tobacco,30815
Saint Lucia,Yams,36813,2811.412045,18.515,14.70699978,Cocoa,16530
Samoa,Yams,36489,35774.424810000004,18.914,5.353000164,Cocoa Coffee Tobacco,55836
Sao Tome and Principe,Maize Yams,79021,2384.653711,70.17399999999999,18.74699974,Cocoa Coffee,1429
Senegal,Maize Rice,55347,868.6941802000001,45.861999999999995,53.9980011,Cotton,11153
Serbia,Maize Soybeans Wheat,153110,6509.066656,55.696000000000005,19.45899963,Tobacco,12442
Sierra Leone,Maize Rice,14769,1154.926061,40.829,60.8730011,Cocoa Coffee Tobacco,30477
Slovakia,Maize Soybeans Wheat,177492,44485.22205,53.888999999999996,3.178999901,Tobacco,4286
South Africa,Maize Rice Soybeans Wheat,119683,10835.54636,64.828,5.612999916000001,Cotton Tea Tobacco,79091
Spain,Maize Rice Soybeans Wheat,253437,46607.41705,79.602,4.124000072,Cotton Tobacco,54491
Sri Lanka,Maize Rice Soybeans,90402,2596.236314,18.256,28.09300041,Cocoa Coffee Cotton Tea Tobacco,98102
Sudan,Maize Rice Wheat Yams,98111,4076.786857,33.894,52.82400131,Cotton,19512
Suriname,Maize Rice Soybeans,79063,97488.66721,66.056,2.444000006,Cocoa Coffee,534
Switzerland,Maize Soybeans Wheat,171139,25708.98459,73.718,3.4389998910000004,Tobacco,20801
Tajikistan,Maize Rice Soybeans Wheat,228380,1002.4033019999999,26.741999999999997,51.787998200000004,Cotton Tobacco,30517
Thailand,Maize Rice Soybeans Wheat,99609,2956.267007,47.693999999999996,32.28099823,Cocoa Coffee Cotton Tea Tobacco,132969
Timor,Maize Rice Soybeans,65649,1915.7262469999998,29.49,39.07899857,Cocoa Coffee,2868
Togo,Maize Rice Soybeans Yams,122534,994.6762674,40.1,39.43099976,Cocoa Coffee Cotton Tobacco,24180
Tonga,Yams,136683,5267.457897,23.275,30.96800041,Coffee,14498
Trinidad and Tobago,Maize Rice Yams,61832,4787.312199,53.318999999999996,3.696000099,Cocoa Coffee Tobacco,21638
Tunisia,Wheat,18227,9668.474605,68.056,13.20300007,Cotton Tobacco,20037
Turkey,Maize Rice Soybeans Wheat,243743,15236.23535,73.611,20.40600014,Cotton Tea Tobacco,90475
Uganda,Maize Rice Soybeans Wheat,70334,574.4531631,22.06,71.00700378,Cocoa Coffee Cotton Tea Tobacco,59356
Ukraine,Maize Rice Soybeans Wheat,184999,4423.502455,69.061,15.25699997,Tobacco,25800
United Arab Emirates,Maize,333965,193905.3122,85.67399999999999,0.19799999899999998,Tobacco,138242
Uruguay,Maize Rice Soybeans Wheat,207752,23018.48287,95.045,8.824000359,Tobacco,39580
Uzbekistan,Maize Rice Soybeans Wheat,253296,3179.070812,50.75,22.84600067,Cotton Tobacco,43585
Yemen,Maize Wheat,26544,873.9617380000001,34.777,34.67499924,Coffee Cotton Tobacco,37851
Zambia,Maize Rice Soybeans Wheat,122307,584.557209,41.907,53.66600037,Coffee Cotton Tea Tobacco,49272
Zimbabwe,Maize Rice Soybeans Wheat,58047,293.15205019999996,32.385,67.20999908,Coffee Cotton Tea Tobacco,55880
